sample_id,phe-label,unique-id,status,mutation-ref-calls,mutation-mixed-calls,mutation-calls,indel-ref-calls,indel-calls,no-calls,no-calls-deletion
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21FEB-04,animating-thermos,low-qc,0,0,0,0,0,19,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VOC-20DEC-02,carnival-shimmy,low-qc,0,0,0,0,0,14,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21MAR-01,cornstalk-handprint,low-qc,0,0,0,0,0,9,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21MAY-01,dandelion-marshy,low-qc,0,0,0,0,0,26,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VOC-20DEC-01,denture-daughter,low-qc,0,0,1,0,0,14,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VOC-21APR-02,empathy-serve,low-qc,0,0,0,0,0,12,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21APR-01,habitable-pasty,low-qc,0,0,0,0,0,11,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,E484K,harbor-sprite,low-qc,0,0,0,0,0,1,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21MAR-02,mushroom-android,low-qc,0,0,0,0,0,17,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21MAY-02,paragraph-footwork,low-qc,0,0,0,0,0,11,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21JUN-01,perfume-sprint,low-qc,0,0,0,0,0,11,0
Consensus_mmm-sispa-ill-s81454-2.primertrimmed.consensus_threshold_0.75_quality_20,VUI-21APR-03,spherical-trial,low-qc,0,0,0,0,0,17,0
